Year,Health Condition,General happiness,U.S. Region,Income,Race,Sex,Highest Degree,Age,Marital status,Work Status,ID
2000,Excellent,Pretty happy,W. sou. central,$8000 to 9999,White,Male,Bachelor,26,Never married,Working fulltime,1
2000,Fair,Pretty happy,W. sou. central,$8000 to 9999,White,Female,High school,48,Divorced,Working fulltime,2
2000,Good,Pretty happy,W. sou. central,Not applicable,White,Female,High school,67,Widowed,Keeping house,3
2000,Not applicable,Very happy,W. sou. central,Not applicable,White,Female,High school,39,Never married,Working fulltime,4
2000,Not applicable,Pretty happy,W. sou. central,Not applicable,White,Female,Junior college,25,Divorced,Working fulltime,5
2000,Good,Pretty happy,W. sou. central,$20000 - 24999,White,Female,High school,25,Married,Working fulltime,6
2000,Good,Very happy,W. sou. central,$25000 or more,White,Male,High school,36,Never married,Working fulltime,7
2000,Good,Pretty happy,W. sou. central,$7000 to 7999,White,Female,Junior college,44,Divorced,Working fulltime,8
2000,Excellent,Pretty happy,W. sou. central,$25000 or more,White,Male,Graduate,44,Married,Working fulltime,9
2000,Not applicable,Very happy,W. sou. central,$25000 or more,White,Male,Bachelor,47,Married,Working fulltime,10
2000,Not applicable,Very happy,W. sou. central,$25000 or more,White,Female,Graduate,53,Married,Working fulltime,11
2000,Good,Pretty happy,W. sou. central,$25000 or more,White,Male,Graduate,52,Married,Working fulltime,12
2000,Good,Pretty happy,W. sou. central,$25000 or more,White,Male,High school,52,Married,Working fulltime,13
2000,Excellent,Very happy,W. sou. central,$25000 or more,White,Male,Bachelor,51,Married,Working fulltime,14
2000,Excellent,Pretty happy,W. sou. central,$25000 or more,White,Female,Bachelor,52,Divorced,"Unempl, laid off",15
2000,Not applicable,Pretty happy,W. sou. central,$25000 or more,Black,Male,High school,40,Married,Working fulltime,16
2000,Excellent,Very happy,W. sou. central,Not applicable,White,Male,Junior college,77,Widowed,Retired,17
2000,Not applicable,Pretty happy,W. sou. central,$25000 or more,White,Male,High school,44,Never married,Working fulltime,18
