Year,Health Condition,General happiness,U.S. Region,Income,Race,Sex,Highest Degree,Age,Marital status,Work Status,ID
2000,Excellent,10,W. sou. central,$8000 to 9999,White,Male,Bachelor,26,Never married,Working fulltime,1
2000,Fair,10,W. sou. central,$8000 to 9999,White,Female,High school,48,Divorced,Working fulltime,2
2000,Good,10,W. sou. central,$20000 - 24999,White,Female,High school,25,Married,Working fulltime,6
2000,Good,5,W. sou. central,$25000 or more,White,Male,High school,36,Never married,Working fulltime,7
2000,Good,10,W. sou. central,$7000 to 7999,White,Female,Junior college,44,Divorced,Working fulltime,8
2000,Excellent,10,W. sou. central,$25000 or more,White,Male,Graduate,44,Married,Working fulltime,9
2000,Good,10,W. sou. central,$25000 or more,White,Male,Graduate,52,Married,Working fulltime,12
2000,Good,10,W. sou. central,$25000 or more,White,Male,High school,52,Married,Working fulltime,13
2000,Excellent,5,W. sou. central,$25000 or more,White,Male,Bachelor,51,Married,Working fulltime,14
2000,Excellent,10,W. sou. central,$25000 or more,White,Female,Bachelor,52,Divorced,"Unempl, laid off",15
2000,Good,10,W. sou. central,$10000 - 14999,White,Male,Lt high school,40,Married,Working fulltime,19
2000,Good,10,W. sou. central,$25000 or more,White,Male,Bachelor,54,Widowed,Keeping house,24
2000,Fair,10,W. sou. central,$25000 or more,White,Male,High school,37,Never married,Working fulltime,34
2000,Good,5,W. sou. central,$10000 - 14999,White,Male,High school,22,Married,Working fulltime,35
2000,Good,0,W. sou. central,$20000 - 24999,Other,Female,Lt high school,33,Never married,Working fulltime,36
2000,Good,10,W. sou. central,$25000 or more,White,Male,Bachelor,29,Never married,Working fulltime,39
2000,Fair,10,W. sou. central,$20000 - 24999,White,Female,Bachelor,31,Married,Working fulltime,41
2000,Excellent,5,W. sou. central,$25000 or more,White,Female,Junior college,45,Married,Working fulltime,42
2000,Excellent,10,W. sou. central,$15000 - 19999,Black,Male,High school,36,Divorced,"Unempl, laid off",43
2000,Fair,10,W. sou. central,$10000 - 14999,White,Female,Lt high school,46,Never married,Working fulltime,46
2000,Excellent,5,W. sou. central,$25000 or more,White,Male,Bachelor,65,Married,Working fulltime,47
2000,Excellent,5,W. sou. central,$25000 or more,White,Female,Bachelor,56,Married,Working fulltime,49
2000,Good,10,W. sou. central,$25000 or more,White,Male,Bachelor,66,Married,Working fulltime,50
2000,Good,10,W. sou. central,$15000 - 19999,White,Male,Lt high school,20,Never married,Working fulltime,51
2000,Excellent,10,W. sou. central,$5000 to 5999,White,Female,Bachelor,64,Married,Working parttime,52
2000,Excellent,5,W. sou. central,$25000 or more,White,Male,Graduate,59,Married,Working fulltime,53
